"Encampment Fires_ January 1, 2020 to April 20 2021",,,
Incident Type Description,Address,Create Date Only,Event Number
ENCAMPMENT /OUTSIDE,2000 E 12TH ST,"June, 9 2020",FOF200609039753
ENCAMPMENT /OUTSIDE,47TH AV&SAN LEANDRO ST,"June, 10 2020",FOF200610039773
ENCAMPMENT /OUTSIDE,23RD AV&E 7TH ST,"June, 10 2020",FOF200610039794
ENCAMPMENT /OUTSIDE,5TH ST&FRANKLIN ST,"June, 11 2020",FOF200611040042
ENCAMPMENT /OUTSIDE,320 23RD AV,"June, 12 2020",FOF200612040384
ENCAMPMENT /OUTSIDE,30TH ST&TELEGRAPH AV,"June, 13 2020",FOF200613040485
ENCAMPMENT /OUTSIDE,34TH ST&WOOD ST,"June, 14 2020",FOF200614040718
ENCAMPMENT /OUTSIDE,BROADWAY&WEBSTER ST,"June, 15 2020",FOF200615040972
ENCAMPMENT /OUTSIDE,E 12TH ST&22ND AV,"June, 17 2020",FOF200617041406
ENCAMPMENT /OUTSIDE,E 12TH ST&7TH AV,"June, 18 2020",FOF200618041660
ENCAMPMENT /OUTSIDE,E 8TH ST&FRUITVALE AV,"June, 18 2020",FOF200618041673
ENCAMPMENT /OUTSIDE,35TH ST&SAN PABLO AV,"June, 18 2020",FOF200618041678
ENCAMPMENT /OUTSIDE,7TH ST&LINDEN ST,"June, 20 2020",FOF200620042316
ENCAMPMENT /OUTSIDE,E 12TH ST&17TH AV,"June, 21 2020",FOF200621042390
ENCAMPMENT /OUTSIDE,95TH AV&INTERNATIONAL BLVD,"June, 21 2020",FOF200621042419
ENCAMPMENT /OUTSIDE,GRAND AV&HARRISON ST,"June, 21 2020",FOF200621042460
ENCAMPMENT /OUTSIDE,BROADWAY&WEBSTER ST,"June, 22 2020",FOF200622042734
ENCAMPMENT /OUTSIDE,3094 E 10TH ST,"June, 23 2020",FOF200623043020
